Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
Inception,8.8,1,0,0,0,Action;Adventure;Sci-Fi;Thriller,148
The Matrix,8.7,1,0,0,0,Action;Sci-Fi,136
Avengers: Infinity War,8.5,1,0,0,0,Action;Adventure;Sci-Fi,149
Back to the Future,8.5,1,0,0,0,Adventure;Comedy;Sci-Fi,116
The Good; the Bad and the Ugly,8.8,1,0,1,0,Western,161
Spider-Man: Into the Spider-Verse,8.4,1,0,0,0,Animation;Action;Adventure;Family;Sci-Fi,117
The Pianist,8.5,1,0,1,0,Biography;Drama;Music;War,150
Django Unchained,8.4,1,0,0,0,Drama;Western,165
Raiders of the Lost Ark,8.4,1,0,0,0,Action;Adventure,115
Inglourious Basterds,8.3,1,0,0,0,Adventure;Drama;War,153
Taxi Driver,8.3,1,0,0,0,Crime;Drama,114
3 Idiots,8.4,1,0,1,0,Comedy;Drama,170
Pan's Labyrinth,8.2,1,0,0,0,Drama;Fantasy;War,118
Room,8.1,1,0,0,0,Drama;Thriller,118
Monty Python and the Holy Grail,8.2,1,0,0,0,Adventure;Comedy;Fantasy,91
Once Upon a Time in the West,8.5,1,0,1,0,Western,165
Indiana Jones and the Last Crusade,8.2,1,0,0,0,Action;Adventure,127
Groundhog Day,8,1,0,0,0,Comedy;Fantasy;Romance,101
The King's Speech,8,1,0,0,0,Biography;Drama;History,118
Her,8,1,0,0,0,Drama;Romance;Sci-Fi,126
There Will Be Blood,8.2,1,0,0,0,Drama,158
The Social Network,7.7,1,0,0,0,Biography;Drama,120
Dallas Buyers Club,8,1,0,0,0,Biography;Drama,117
The Perks of Being a Wallflower,8,1,0,0,0,Drama;Romance,103
Life of Brian,8.1,1,0,0,0,Comedy,94
Ex Machina,7.7,1,0,0,0,Drama;Mystery;Sci-Fi;Thriller,108
Silver Linings Playbook,7.7,1,0,0,0,Comedy;Drama;Romance,122
District 9,7.9,1,0,0,0,Action;Sci-Fi;Thriller,112
The Irishman,7.9,1,0,0,0,Biography;Crime;Drama,209
Moon,7.9,1,0,0,0,Drama;Mystery;Sci-Fi,97
Marriage Story,8,1,0,0,0,Comedy;Drama;Romance,137
Drive,7.8,1,0,1,0,Crime;Drama,100
Train to Busan,7.5,1,0,1,0,Action;Horror;Thriller,118
Incredibles 2,7.6,1,0,0,0,Animation;Action;Adventure;Comedy;Family;Sci-Fi,118
Dangal,8.4,1,0,0,0,Action;Biography;Drama;Sport,161
Klaus,8.2,1,0,0,0,Animation;Adventure;Comedy;Family,96
Minority Report,7.6,1,0,0,0,Action;Crime;Mystery;Sci-Fi;Thriller,145
Mystic River,7.9,1,0,0,0,Crime;Drama;Mystery;Thriller,138
Like Stars on Earth,8.4,1,0,0,0,Drama;Family,165
Ferris Bueller's Day Off,7.8,1,0,0,0,Comedy,103
Despicable Me,7.6,1,0,0,0,Animation;Comedy;Family;Fantasy,95
